log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sda,0,0.09,4.93,0.02,15.65,0.8,56.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
io1.log,sdb,1,23.28,237.12,35.99,60.73,0.75,10.19,16.67,427.44,90.19,84.4,6.65,25.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,4.85
io1.log,sdc,2,44.43,1919.22,0.82,1.81,0.89,43.2,1226.15,39666.34,715.28,36.84,1.25,32.35,7.74,28243.71,5.04,39.47,0.16,3650.9,530.55,1.78,2.52,69.87
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,15.0,64.0,1.0,6.25,0.33,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.0
io1.log,sdc,2,4.0,52.0,0.0,0.0,1.25,13.0,531.0,11516.0,91.0,14.63,1.2,21.69,0.0,0.0,0.0,0.0,0.0,0.0,253.0,2.1,1.17,50.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,350.0,1480.0,20.0,5.41,0.24,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,35.0
io1.log,sdc,2,640.0,14476.0,0.0,0.0,0.27,22.62,524.0,33840.0,389.0,42.61,1.45,64.58,0.0,0.0,0.0,0.0,0.0,0.0,282.0,2.2,1.55,84.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,196.0,864.0,20.0,9.26,0.48,4.41,9.0,2076.0,510.0,98.27,1.67,230.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,39.0
io1.log,sdc,2,892.0,20692.0,0.0,0.0,1.01,23.2,858.0,66388.0,652.0,43.18,1.66,77.38,0.0,0.0,0.0,0.0,0.0,0.0,399.0,2.48,3.31,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,50.0,216.0,4.0,7.41,1.18,4.32,4.0,676.0,165.0,97.63,1.75,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,27.0
io1.log,sdc,2,1017.0,25012.0,0.0,0.0,1.21,24.59,1022.0,85452.0,765.0,42.81,1.54,83.61,0.0,0.0,0.0,0.0,0.0,0.0,433.0,2.54,3.9,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,41.0,200.0,9.0,18.0,1.02,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,24.0
io1.log,sdc,2,1412.0,34664.0,0.0,0.0,1.13,24.55,1037.0,90760.0,782.0,42.99,1.57,87.52,0.0,0.0,0.0,0.0,0.0,0.0,433.0,2.45,4.29,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,108.0,552.0,30.0,21.74,0.88,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,32.0
io1.log,sdc,2,1679.0,39588.0,0.0,0.0,1.11,23.58,1012.0,108888.0,807.0,44.37,1.45,107.6,0.0,0.0,0.0,0.0,0.0,0.0,431.0,2.45,4.38,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,13.0,52.0,0.0,0.0,1.23,4.0,10.0,1580.0,385.0,97.47,2.1,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,15.0
io1.log,sdc,2,2066.0,52892.0,0.0,0.0,1.17,25.6,1036.0,89428.0,817.0,44.09,1.46,86.32,0.0,0.0,0.0,0.0,0.0,0.0,438.0,2.42,4.99,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,11.0,64.0,5.0,31.25,1.09,5.82,14.0,8100.0,2011.0,99.31,3.07,578.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,16.0
io1.log,sdc,2,2332.0,56320.0,0.0,0.0,1.27,24.15,897.0,30528.0,730.0,44.87,1.62,34.03,0.0,0.0,0.0,0.0,0.0,0.0,403.0,2.66,5.49,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,13.0,52.0,0.0,0.0,1.08,4.0,3.0,2048.0,509.0,99.41,2.67,682.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0
io1.log,sdc,2,2888.0,71196.0,0.0,0.0,1.28,24.65,951.0,24940.0,741.0,43.79,1.63,26.23,0.0,0.0,0.0,0.0,0.0,0.0,420.0,2.54,6.33,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,7.0,32.0,1.0,12.5,1.43,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.0
io1.log,sdc,2,628.0,16132.0,0.0,0.0,1.25,25.69,1531.0,27008.0,611.0,28.52,2.11,17.64,0.0,0.0,0.0,0.0,0.0,0.0,487.0,3.51,5.72,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4096.0,1019.0,99.51,3.6,819.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.0
io1.log,sdc,2,443.0,11596.0,0.0,0.0,1.42,26.18,1699.0,24164.0,611.0,26.45,2.05,14.22,0.0,0.0,0.0,0.0,0.0,0.0,590.0,3.57,6.22,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,111.0,2544.0,0.0,0.0,2.49,22.92,835.0,13008.0,346.0,29.3,4.08,15.58,0.0,0.0,0.0,0.0,0.0,0.0,263.0,7.38,5.63,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
io1.log,sdc,2,340.0,8016.0,0.0,0.0,2.51,23.58,685.0,11516.0,298.0,30.32,3.84,16.81,0.0,0.0,0.0,0.0,0.0,0.0,234.0,6.73,5.06,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,198.0,4960.0,0.0,0.0,2.82,25.05,633.0,10528.0,331.0,34.34,3.5,16.63,0.0,0.0,0.0,0.0,0.0,0.0,214.0,6.29,4.12,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,471.29,11912.87,0.0,0.0,1.5,25.28,1470.3,22130.69,565.35,27.77,2.08,15.05,0.0,0.0,0.0,0.0,0.0,0.0,505.94,3.37,5.46,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,433.0,10684.0,0.0,0.0,1.18,24.67,1676.0,24592.0,666.0,28.44,2.17,14.67,0.0,0.0,0.0,0.0,0.0,0.0,571.0,3.59,6.2,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,4.0,0.0,0.0,0.0,4.0,2.0,288.0,70.0,97.22,3.5,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.0
io1.log,sdc,2,421.0,9932.0,0.0,0.0,1.28,23.59,1738.0,25732.0,705.0,28.86,1.98,14.81,0.0,0.0,0.0,0.0,0.0,0.0,568.0,3.07,5.72,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,1.0,4.0,0.0,0.0,1.0,4.0,3.0,808.0,199.0,98.51,2.33,269.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.0
io1.log,sdc,2,430.0,10608.0,0.0,0.0,1.2,24.67,1756.0,26604.0,720.0,29.08,1.87,15.15,0.0,0.0,0.0,0.0,0.0,0.0,558.0,3.11,5.54,100.0
