Operation,Source File,elapsed_ms,calls,min_ms,avg_ms,max_ms,total_ms,p99_ms,p95_ms,p50_ms,sd,ratio_pct
NEWORD,times1.json,418777.5,47658,1.099,151.221,665.336,7206913.612,403.918,307.687,140.383,847723.359,53.779
PAYMENT,times1.json,418777.5,47098,3.009,75.88,1349.175,3573799.245,469.065,252.399,44.559,911039.446,26.668
DELIVERY,times1.json,418777.5,4600,9.758,335.426,2750.034,1542960.055,1126.547,680.079,299.854,2284740.553,11.514
SLEV,times1.json,418777.5,4694,0.602,144.252,3314.132,677119.139,2057.703,424.896,53.124,3418374.238,5.053
OSTAT,times1.json,418777.5,4590,0.604,87.474,1150.311,401505.828,433.886,274.106,57.882,979291.318,2.996
NEWORD,times2.json,420095.0,74748,1.614,98.203,985.711,7340472.848,308.488,236.319,77.528,737351.761,54.604
PAYMENT,times2.json,420095.0,75352,2.067,43.461,816.608,3274897.605,239.676,132.921,27.788,480421.085,24.361
DELIVERY,times2.json,420095.0,7496,7.612,243.017,1533.82,1821653.84,774.738,610.835,193.585,1899438.805,13.551
SLEV,times2.json,420095.0,7448,0.651,85.477,1323.363,636633.969,554.642,341.051,35.784,1208160.247,4.736
OSTAT,times2.json,420095.0,7368,0.56,51.207,473.579,377292.66,266.995,162.727,32.949,563181.967,2.807
NEWORD,times3.json,416827.0,49788,1.532,144.086,1191.359,7173771.817,403.65,300.786,134.44,889681.382,53.783
PAYMENT,times3.json,416827.0,49514,2.302,70.829,1928.304,3507036.915,445.161,236.43,41.959,917278.563,26.293
DELIVERY,times3.json,416827.0,4896,6.436,329.704,2548.732,1614228.86,1195.299,633.919,302.048,2331879.406,12.102
SLEV,times3.json,416827.0,4884,0.625,130.155,2920.023,635675.203,1984.222,407.932,52.738,2946924.014,4.766
OSTAT,times3.json,416827.0,4982,0.615,85.672,947.821,426816.279,470.231,266.004,54.965,1021926.49,3.2
NEWORD,times4.json,417907.5,46962,1.574,150.73,1597.475,7078562.62,413.509,307.665,138.368,890359.995,52.932
PAYMENT,times4.json,417907.5,46630,3.642,77.391,1333.625,3608761.083,486.818,258.533,45.286,951857.745,26.985
DELIVERY,times4.json,417907.5,4734,7.773,334.004,3226.148,1581175.666,1268.541,669.001,300.192,2384673.729,11.824
SLEV,times4.json,417907.5,4772,0.57,141.867,4754.939,676991.163,2143.243,407.737,54.477,3462957.274,5.062
OSTAT,times4.json,417907.5,4566,0.586,95.601,1729.831,436514.919,575.663,307.104,59.092,1160866.657,3.264
NEWORD,times5.json,417090.0,46758,2.815,152.518,1151.058,7131435.342,420.446,310.449,139.952,896699.43,53.431
PAYMENT,times5.json,417090.0,46854,3.053,75.712,1565.422,3547389.873,476.57,247.736,44.859,943094.218,26.578
DELIVERY,times5.json,417090.0,4812,8.085,338.789,2881.941,1630250.929,1213.402,683.553,301.939,2205699.726,12.214
SLEV,times5.json,417090.0,4632,0.584,135.285,3166.692,626642.148,1972.046,387.049,54.99,3053377.052,4.695
OSTAT,times5.json,417090.0,4736,0.613,88.929,1036.985,421168.47,480.365,277.116,56.649,987230.202,3.156
