log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sda,0,0.12,6.5,0.02,16.11,0.8,55.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
io1.log,sdb,1,30.52,310.98,47.21,60.74,0.76,10.19,22.8,566.02,118.7,83.89,6.69,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,5.92
io1.log,sdc,2,30.24,1330.59,1.05,3.35,1.1,44.01,1236.36,40972.19,822.5,39.95,1.18,33.14,9.57,34933.29,6.42,40.14,0.16,3651.71,564.56,1.63,2.41,73.45
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336.0,0.0,0.0,9.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0
io1.log,sdc,2,0.0,0.0,0.0,0.0,0.0,0.0,963.0,22200.0,165.0,14.63,1.25,23.05,0.0,0.0,0.0,0.0,0.0,0.0,444.0,2.26,2.21,85.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,90.0,424.0,16.0,15.09,0.47,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,19.0
io1.log,sdc,2,284.0,6672.0,0.0,0.0,0.17,23.49,197.0,18932.0,229.0,53.76,1.6,96.1,0.0,0.0,0.0,0.0,0.0,0.0,117.0,2.29,0.63,44.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,70.0,336.0,14.0,16.67,0.71,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,20.0
io1.log,sdc,2,867.0,19956.0,0.0,0.0,0.82,23.02,730.0,65140.0,696.0,48.81,1.55,89.23,0.0,0.0,0.0,0.0,0.0,0.0,393.0,2.31,2.75,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,29.0,260.0,36.0,55.38,1.1,8.97,3.0,272.0,65.0,95.59,7.67,90.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,19.0
io1.log,sdc,2,962.0,21952.0,0.0,0.0,1.16,22.82,903.0,51048.0,727.0,44.6,1.57,56.53,0.0,0.0,0.0,0.0,0.0,0.0,416.0,2.44,3.55,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,32.0,328.0,50.0,60.98,0.94,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,17.0
io1.log,sdc,2,935.0,23460.0,0.0,0.0,1.27,25.09,926.0,68552.0,696.0,42.91,1.63,74.03,0.0,0.0,0.0,0.0,0.0,0.0,400.0,2.65,3.75,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,39.0,460.0,76.0,66.09,1.13,11.79,5.0,1036.0,254.0,98.07,4.4,207.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,32.0
