Operation,Source File,elapsed_ms,calls,min_ms,avg_ms,max_ms,total_ms,p99_ms,p95_ms,p50_ms,sd,ratio_pct
NEWORD,times1.json,414152.0,59720,1.296,248.626,1243.838,14847921.775,640.25,490.962,235.043,1377524.535,56.018
PAYMENT,times1.json,414152.0,60460,3.464,89.635,1407.222,5419337.327,582.913,299.272,52.413,1119009.221,20.446
DELIVERY,times1.json,414152.0,5918,10.99,743.969,4746.797,4402808.976,2524.074,1689.515,648.424,4967043.312,16.611
SLEV,times1.json,414152.0,5682,0.624,195.056,4704.814,1108309.741,3366.321,471.949,79.286,5054528.993,4.181
OSTAT,times1.json,414152.0,6010,0.574,117.227,1521.653,704536.686,601.099,345.564,81.416,1285472.647,2.658
NEWORD,times2.json,415552.5,82872,1.431,182.896,2099.244,15156999.149,570.469,437.494,148.513,1382026.846,56.991
DELIVERY,times2.json,415552.5,8288,7.805,653.196,4288.098,5413685.691,2499.935,1703.532,553.804,5775231.001,20.356
PAYMENT,times2.json,415552.5,83372,2.196,53.073,1069.639,4424767.787,288.01,162.213,33.991,583179.116,16.637
SLEV,times2.json,415552.5,8390,0.61,115.787,1212.094,971455.634,807.231,412.545,63.063,1558011.533,3.653
OSTAT,times2.json,415552.5,8142,0.621,73.546,795.057,598810.988,345.569,221.834,49.629,768507.019,2.252
NEWORD,times3.json,414234.0,62238,1.731,238.409,3556.86,14838123.234,597.906,472.667,224.97,1339777.544,55.97
PAYMENT,times3.json,414234.0,61304,2.881,85.434,2144.77,5237459.264,534.978,276.766,51.235,1059237.715,19.756
DELIVERY,times3.json,414234.0,6046,12.603,774.21,4869.637,4680876.313,3076.732,1849.887,643.159,5856129.241,17.656
SLEV,times3.json,414234.0,5978,0.583,169.988,4510.168,1016187.48,2673.503,475.525,81.282,3889651.241,3.833
OSTAT,times3.json,414234.0,6254,0.609,117.217,1017.743,733076.866,569.246,338.803,85.624,1200092.822,2.765
NEWORD,times4.json,415693.5,99456,1.639,147.502,1623.856,14669938.412,547.654,406.389,95.019,1286250.343,55.141
DELIVERY,times4.json,415693.5,10244,9.231,604.593,5907.673,6193454.367,2917.586,1948.518,290.567,6538625.108,23.28
PAYMENT,times4.json,415693.5,99448,2.104,42.383,1042.204,4214899.119,244.802,135.144,25.505,491767.098,15.843
SLEV,times4.json,415693.5,10088,0.634,92.758,1761.861,935744.822,824.524,346.308,40.294,1481282.067,3.517
OSTAT,times4.json,415693.5,9910,0.584,58.083,506.275,575599.364,316.587,194.167,36.689,651033.713,2.164
NEWORD,times5.json,415418.0,85818,1.092,175.114,1568.281,15027952.4,569.358,434.08,136.132,1371090.358,56.524
DELIVERY,times5.json,415418.0,8606,5.84,667.446,5324.397,5744042.105,3066.759,1903.269,524.131,6461354.814,21.605
PAYMENT,times5.json,415418.0,85360,2.005,50.001,1351.764,4268126.84,269.602,155.168,31.615,554880.748,16.054
SLEV,times5.json,415418.0,8730,0.553,111.647,1178.28,974675.449,878.787,376.468,57.481,1558056.663,3.666
OSTAT,times5.json,415418.0,8494,0.522,71.12,1892.141,604092.754,347.172,233.089,44.306,842655.508,2.272
