Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

18:18:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:18:23     all    0.19    0.00    0.19   10.07    0.00    0.06    0.00    0.00    0.00   89.49
18:18:23       0    0.00    0.00    0.00    4.04    0.00    1.01    0.00    0.00    0.00   94.95
18:18:23       1    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:18:23       2    0.00    0.00    1.01    7.07    0.00    0.00    0.00    0.00    0.00   91.92
18:18:23       3    0.00    0.00    1.01    5.05    0.00    0.00    0.00    0.00    0.00   93.94
18:18:23       4    0.00    0.00    1.01    7.07    0.00    0.00    0.00    0.00    0.00   91.92
18:18:23       5    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
18:18:23       6    0.00    0.00    0.00   33.67    0.00    0.00    0.00    0.00    0.00   66.33
18:18:23       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:18:23       8    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   95.96
18:18:23       9    0.99    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   96.04
18:18:23      10    1.01    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   92.93
18:18:23      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:18:23      12    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
18:18:23      13    1.02    0.00    0.00   84.69    0.00    0.00    0.00    0.00    0.00   14.29
18:18:23      14    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
18:18:23      15    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99

18:18:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:18:24     all    0.19    0.00    0.75    9.90    0.00    0.06    0.00    0.00    0.00   89.10
18:18:24       0    0.00    0.00    0.00   11.11    0.00    1.01    0.00    0.00    0.00   87.88
18:18:24       1    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
18:18:24       2    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
18:18:24       3    0.00    0.00    6.86   11.76    0.00    0.00    0.00    0.00    0.00   81.37
18:18:24       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:18:24       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:18:24       6    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
18:18:24       7    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
18:18:24       8    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
18:18:24       9    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
18:18:24      10    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
18:18:24      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:18:24      12    0.00    0.00    1.00    4.00    0.00    0.00    0.00    0.00    0.00   95.00
18:18:24      13    0.00    0.00    1.98   90.10    0.00    0.00    0.00    0.00    0.00    7.92
18:18:24      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
18:18:24      15    3.06    0.00    1.02   14.29    0.00    0.00    0.00    0.00    0.00   81.63

18:18:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
18:18:25     all    0.50    0.00    1.07   12.92    0.00    0.00    0.00    0.00    0.00   85.51
18:18:25       0    0.00    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   95.92
18:18:25       1    0.00    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00   96.91
18:18:25       2    1.96    0.00    2.94   18.63    0.00    0.00    0.00    0.00    0.00   76.47
18:18:25       3    0.00    0.00    3.03    5.05    0.00    0.00    0.00    0.00    0.00   91.92
18:18:25       4    1.02    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00   92.86
18:18:25       5    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
18:18:25       6    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   95.96
18:18:25       7    0.00    0.00    0.00    5.26    0.00    0.00    0.00    0.00    0.00   94.74
18:18:25       8    0.00    0.00    1.98    6.93    0.00    0.00    0.00    0.00    0.00   91.09
18:18:25       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
