Operation,Source File,elapsed_ms,calls,min_ms,avg_ms,max_ms,total_ms,p99_ms,p95_ms,p50_ms,sd,ratio_pct
NEWORD,times1.json,415461.0,544946,0.955,23.24,249.6,12664427.505,63.371,37.964,21.791,91635.378,47.629
PAYMENT,times1.json,415461.0,546312,4.015,23.069,249.639,12602870.755,63.128,37.221,21.555,89587.059,47.398
DELIVERY,times1.json,415461.0,54270,7.274,23.532,170.261,1277085.958,63.985,38.564,21.757,90888.765,4.803
SLEV,times1.json,415461.0,54606,0.588,1.416,160.565,77330.1,2.743,1.989,1.269,22368.771,0.291
OSTAT,times1.json,415461.0,54670,0.5,1.351,78.003,73867.5,3.532,2.3,1.177,10111.996,0.278
NEWORD,times2.json,418926.0,552448,0.988,22.916,230.419,12659686.427,57.221,36.836,21.731,84009.575,47.218
PAYMENT,times2.json,418926.0,549518,3.852,22.819,426.734,12539484.679,57.406,36.229,21.552,81401.734,46.769
DELIVERY,times2.json,418926.0,55176,7.856,23.256,229.433,1283195.26,60.53,37.548,21.672,85792.777,4.786
SLEV,times2.json,418926.0,55538,0.599,1.414,122.694,78535.074,2.649,1.982,1.279,23103.795,0.293
OSTAT,times2.json,418926.0,55960,0.574,1.322,55.592,73997.179,3.253,2.251,1.169,9760.068,0.276
NEWORD,times3.json,415759.0,548412,0.959,22.993,294.535,12609732.861,59.646,37.083,21.836,91607.507,47.39
PAYMENT,times3.json,415759.0,548674,3.488,22.868,294.619,12546894.813,58.77,36.351,21.657,89302.196,47.154
DELIVERY,times3.json,415759.0,54854,7.112,23.299,279.245,1278045.648,61.269,37.561,21.779,89901.615,4.803
SLEV,times3.json,415759.0,54726,0.536,1.436,122.404,78575.642,2.693,1.997,1.296,22903.306,0.295
OSTAT,times3.json,415759.0,54730,0.52,1.362,62.192,74539.352,3.544,2.307,1.186,12337.548,0.28
NEWORD,times4.json,416902.0,567112,0.89,22.211,195.688,12596395.586,56.304,36.492,21.453,90041.297,47.21
PAYMENT,times4.json,416902.0,570290,2.607,22.048,225.958,12573605.796,55.621,35.808,21.296,88715.87,47.124
DELIVERY,times4.json,416902.0,57382,5.406,22.668,169.192,1300734.904,58.85,37.331,21.463,88345.094,4.875
SLEV,times4.json,416902.0,57168,0.594,1.399,125.911,79998.42,2.653,1.947,1.285,17550.133,0.3
OSTAT,times4.json,416902.0,57040,0.452,1.331,52.293,75942.844,3.46,2.27,1.171,9879.644,0.285
NEWORD,times5.json,415196.0,542418,0.981,23.183,250.449,12574816.923,63.61,37.945,21.732,92723.409,47.323
PAYMENT,times5.json,415196.0,540450,4.06,23.141,251.039,12506672.598,63.659,37.433,21.57,92560.629,47.066
DELIVERY,times5.json,415196.0,54560,7.274,23.465,143.717,1280251.055,64.646,38.514,21.768,89373.752,4.818
SLEV,times5.json,415196.0,53858,0.586,1.442,192.611,77654.034,2.681,2.011,1.295,25389.581,0.292
OSTAT,times5.json,415196.0,54414,0.523,1.352,55.214,73596.158,3.458,2.261,1.191,9896.709,0.277
