Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

00:38:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:38:13     all    0.06    0.00    0.19   11.96    0.00    0.13    0.00    0.00    0.00   87.66
00:38:13       0    0.00    0.00    0.98   21.57    0.00    0.98    0.00    0.00    0.00   76.47
00:38:13       1    0.00    0.00    0.00   92.93    0.00    0.00    0.00    0.00    0.00    7.07
00:38:13       2    0.00    0.00    2.04   15.31    0.00    0.00    0.00    0.00    0.00   82.65
00:38:13       3    1.00    0.00    0.00   16.00    0.00    1.00    0.00    0.00    0.00   82.00
00:38:13       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:13       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:13       6    0.00    0.00    0.00    8.00    0.00    0.00    0.00    0.00    0.00   92.00
00:38:13       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:13       8    0.00    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00   91.92
00:38:13       9    0.00    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   96.97
00:38:13      10    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
00:38:13      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:13      12    0.00    0.00    0.00   24.24    0.00    0.00    0.00    0.00    0.00   75.76
00:38:13      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:13      14    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
00:38:13      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:38:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:38:14     all    0.25    0.00    0.19   12.52    0.00    0.00    0.00    0.00    0.00   87.05
00:38:14       0    0.00    0.00    0.00   28.57    0.00    0.00    0.00    0.00    0.00   71.43
00:38:14       1    0.00    0.00    1.00   92.00    0.00    0.00    0.00    0.00    0.00    7.00
00:38:14       2    0.00    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   97.98
00:38:14       3    0.00    0.00    0.99    5.94    0.00    0.00    0.00    0.00    0.00   93.07
00:38:14       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:14       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:14       6    0.00    0.00    0.00   12.12    0.00    0.00    0.00    0.00    0.00   87.88
00:38:14       7    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
00:38:14       8    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
00:38:14       9    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
00:38:14      10    0.00    0.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00   94.00
00:38:14      11    3.92    0.00    0.00   31.37    0.00    0.00    0.00    0.00    0.00   64.71
00:38:14      12    0.00    0.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00   90.00
00:38:14      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:14      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:14      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

00:38:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:38:15     all    0.44    0.00    0.37   13.86    0.00    0.06    0.00    0.00    0.00   85.27
00:38:15       0    1.01    0.00    0.00   13.13    0.00    0.00    0.00    0.00    0.00   85.86
00:38:15       1    1.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00    0.00   74.00
00:38:15       2    2.94    0.00    0.00   32.35    0.00    0.98    0.00    0.00    0.00   63.73
00:38:15       3    0.00    0.00    0.00   81.82    0.00    0.00    0.00    0.00    0.00   18.18
00:38:15       4    0.00    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00   98.02
00:38:15       5    0.00    0.00    0.00   16.16    0.00    0.00    0.00    0.00    0.00   83.84
00:38:15       6    0.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   93.00
00:38:15       7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
00:38:15       8    0.00    0.00    1.00    8.00    0.00    0.00    0.00    0.00    0.00   91.00
00:38:15       9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
00:38:15      10    0.00    0.00    1.00    7.00    0.00    0.00    0.00    0.00    0.00   92.00
00:38:15      11    1.00    0.00    1.00   25.00    0.00    0.00    0.00    0.00    0.00   73.00
00:38:15      12    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
00:38:15      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:15      14    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
00:38:15      15    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

00:38:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:38:16     all    0.06    0.00    0.25   15.65    0.00    0.00    0.00    0.00    0.00   84.04
00:38:16       0    0.00    0.00    0.00    9.28    0.00    0.00    0.00    0.00    0.00   90.72
00:38:16       1    0.00    0.00    0.00   72.73    0.00    0.00    0.00    0.00    0.00   27.27
00:38:16       2    0.00    0.00    0.00   39.39    0.00    0.00    0.00    0.00    0.00   60.61
00:38:16       3    0.00    0.00    0.00   22.45    0.00    0.00    0.00    0.00    0.00   77.55
00:38:16       4    0.00    0.00    1.00   17.00    0.00    0.00    0.00    0.00    0.00   82.00
00:38:16       5    0.00    0.00    0.00   21.43    0.00    0.00    0.00    0.00    0.00   78.57
00:38:16       6    1.01    0.00    1.01   23.23    0.00    0.00    0.00    0.00    0.00   74.75
00:38:16       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:16       8    0.00    0.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00
00:38:16       9    0.00    0.00    0.00   14.14    0.00    0.00    0.00    0.00    0.00   85.86
00:38:16      10    0.00    0.00    0.00   10.10    0.00    0.00    0.00    0.00    0.00   89.90
00:38:16      11    0.00    0.00    0.00    7.14    0.00    0.00    0.00    0.00    0.00   92.86
00:38:16      12    0.00    0.00    0.00    5.05    0.00    0.00    0.00    0.00    0.00   94.95
00:38:16      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
00:38:16      14    0.00    0.00    1.00    5.00    0.00    0.00    0.00    0.00    0.00   94.00
00:38:16      15    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00

00:38:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
00:38:17     all    1.08    0.00    0.76   14.06    0.00    0.06    0.00    0.00    0.00   84.04
00:38:17       0    2.04    0.00    1.02   10.20    0.00    0.00    0.00    0.00    0.00   86.73
00:38:17       1    2.94    0.00    1.96    7.84    0.00    0.00    0.00    0.00    0.00   87.25
00:38:17       2    0.00    0.00    0.00   52.58    0.00    0.00    0.00    0.00    0.00   47.42
00:38:17       3    2.11    0.00    0.00   11.58    0.00    0.00    0.00    0.00    0.00   86.32
00:38:17       4    1.02    0.00    2.04   18.37    0.00    0.00    0.00    0.00    0.00   78.57
00:38:17       5    2.94    0.00    2.94   15.69    0.00    0.98    0.00    0.00    0.00   77.45
00:38:17       6    1.01    0.00    1.01   15.15    0.00    0.00    0.00    0.00    0.00   82.83
00:38:17       7    3.06    0.00    0.00   11.22    0.00    0.00    0.00    0.00    0.00   85.71
00:38:17       8    1.02    0.00    0.00   21.43    0.00    0.00    0.00    0.00    0.00   77.55
00:38:17       9    1.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   97.00
00:38:17      10    0.00    0.00    0.00   11.46    0.00    0.00    0.00    0.00    0.00   88.54
00:38:17      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
