Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/07/25 	_x86_64_	(16 CPU)

23:46:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:46:09     all    0.06    0.00    0.19    3.07    0.00    0.00    0.00    0.00    0.00   96.68
23:46:09       0    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
23:46:09       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09       2    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
23:46:09       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09       4    0.00    0.00    0.00   26.26    0.00    0.00    0.00    0.00    0.00   73.74
23:46:09       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09       6    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
23:46:09       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09       8    1.00    0.00    1.00    4.00    0.00    0.00    0.00    0.00    0.00   94.00
23:46:09       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09      10    0.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00   93.00
23:46:09      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09      13    0.00    0.00    0.00    6.93    0.00    0.00    0.00    0.00    0.00   93.07
23:46:09      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:09      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

23:46:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:46:10     all    0.44    0.00    0.37    6.18    0.00    0.00    0.00    0.00    0.00   93.01
23:46:10       0    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
23:46:10       1    5.00    0.00    3.00   19.00    0.00    0.00    0.00    0.00    0.00   73.00
23:46:10       2    0.00    0.00    0.00   60.20    0.00    0.00    0.00    0.00    0.00   39.80
23:46:10       3    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
23:46:10       4    0.00    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   97.03
23:46:10       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23:46:10       6    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
23:46:10       7    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
23:46:10       8    0.00    0.00    1.00    6.00    0.00    0.00    0.00    0.00    0.00   93.00
23:46:10       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
