Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

14:21:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:21:11     all    0.44    0.00    0.37   10.56    0.00    0.19    0.00    0.00    0.00   88.44
14:21:11       0    0.00    0.00    1.00    0.00    0.00    2.00    0.00    0.00    0.00   97.00
14:21:11       1    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
14:21:11       2    1.98    0.00    0.99    8.91    0.00    0.00    0.00    0.00    0.00   88.12
14:21:11       3    0.00    0.00    1.01   45.45    0.00    0.00    0.00    0.00    0.00   53.54
14:21:11       4    0.00    0.00    2.00   80.00    0.00    0.00    0.00    0.00    0.00   18.00
14:21:11       5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:11       6    1.01    0.00    0.00   10.10    0.00    0.00    0.00    0.00    0.00   88.89
14:21:11       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:11       8    1.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
14:21:11       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:11      10    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
14:21:11      11    1.96    0.00    0.98   10.78    0.00    0.00    0.00    0.00    0.00   86.27
14:21:11      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:11      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:21:11      14    1.00    0.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00   87.00
14:21:11      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

14:21:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
