Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

14:03:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:17     all    0.00    0.00    0.19    2.31    0.00    0.06    0.00    0.00    0.00   97.44
14:03:17       0    0.00    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   97.03
14:03:17       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17       3    0.00    0.00    0.99    7.92    0.00    0.00    0.00    0.00    0.00   91.09
14:03:17       4    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
14:03:17       5    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   97.00
14:03:17       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17       8    0.00    0.00    0.00   19.00    0.00    0.00    0.00    0.00    0.00   81.00
14:03:17       9    0.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   97.00
14:03:17      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17      12    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
14:03:17      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:17      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

14:03:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:18     all    0.38    0.00    0.56    4.63    0.00    0.00    0.00    0.00    0.00   94.43
14:03:18       0    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
14:03:18       1    0.00    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   96.97
14:03:18       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:18       3    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
14:03:18       4    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
14:03:18       5    0.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00   95.00
14:03:18       6    0.00    0.00    1.98   40.59    0.00    0.00    0.00    0.00    0.00   57.43
14:03:18       7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:18       8    0.00    0.00    1.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00
14:03:18       9    0.00    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   97.03
14:03:18      10    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
14:03:18      11    4.00    0.00    4.00    9.00    0.00    0.00    0.00    0.00    0.00   83.00
14:03:18      12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:03:18      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:03:18      14    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
14:03:18      15    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01

14:03:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:19     all    1.25    0.00    1.31    9.44    0.00    0.38    0.00    0.00    0.00   87.62
14:03:19       0    0.00    0.00    0.99    4.95    0.00    1.98    0.00    0.00    0.00   92.08
14:03:19       1    6.06    0.00    4.04   15.15    0.00    0.00    0.00    0.00    0.00   74.75
14:03:19       2    0.00    0.00    3.00   90.00    0.00    0.00    0.00    0.00    0.00    7.00
14:03:19       3    1.01    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   95.96
14:03:19       4    0.97    0.00    3.88    2.91    0.00    0.00    0.00    0.00    0.00   92.23
14:03:19       5    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
14:03:19       6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:03:19       7    0.00    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   98.02
14:03:19       8    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
14:03:19       9    2.02    0.00    1.01   10.10    0.00    2.02    0.00    0.00    0.00   84.85
14:03:19      10    2.00    0.00    0.00    4.00    0.00    1.00    0.00    0.00    0.00   93.00
14:03:19      11    5.15    0.00    1.03   14.43    0.00    1.03    0.00    0.00    0.00   78.35
14:03:19      12    1.98    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   97.03
14:03:19      13    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
14:03:19      14    0.99    0.00    1.98    3.96    0.00    0.00    0.00    0.00    0.00   93.07
14:03:19      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

14:03:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:20     all    0.95    0.00    0.88   12.88    0.00    0.06    0.00    0.00    0.00   85.23
14:03:20       0    0.00    0.00    1.03   35.05    0.00    0.00    0.00    0.00    0.00   63.92
14:03:20       1    3.03    0.00    1.01    5.05    0.00    1.01    0.00    0.00    0.00   89.90
14:03:20       2    0.00    0.00    0.00    6.19    0.00    0.00    0.00    0.00    0.00   93.81
14:03:20       3    2.00    0.00    1.00    8.00    0.00    0.00    0.00    0.00    0.00   89.00
14:03:20       4    0.00    0.00    1.01    7.07    0.00    0.00    0.00    0.00    0.00   91.92
14:03:20       5    0.00    0.00    0.99    2.97    0.00    0.00    0.00    0.00    0.00   96.04
14:03:20       6    0.00    0.00    3.92    8.82    0.00    0.00    0.00    0.00    0.00   87.25
14:03:20       7    0.00    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00   92.93
14:03:20       8    0.00    0.00    0.00   66.33    0.00    0.00    0.00    0.00    0.00   33.67
14:03:20       9    1.03    0.00    0.00   11.34    0.00    0.00    0.00    0.00    0.00   87.63
14:03:20      10    2.02    0.00    2.02    6.06    0.00    0.00    0.00    0.00    0.00   89.90
14:03:20      11    2.06    0.00    0.00    9.28    0.00    0.00    0.00    0.00    0.00   88.66
14:03:20      12    0.00    0.00    0.99   11.88    0.00    0.00    0.00    0.00    0.00   87.13
14:03:20      13    5.00    0.00    2.00    6.00    0.00    0.00    0.00    0.00    0.00   87.00
14:03:20      14    0.00    0.00    0.00   16.33    0.00    0.00    0.00    0.00    0.00   83.67
14:03:20      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

14:03:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:21     all    2.00    0.00    1.37   12.60    0.00    0.31    0.00    0.00    0.00   83.72
14:03:21       0    2.91    0.00    3.88   41.75    0.00    0.97    0.00    0.00    0.00   50.49
14:03:21       1    1.00    0.00    1.00   12.00    0.00    1.00    0.00    0.00    0.00   85.00
14:03:21       2    1.00    0.00    1.00   29.00    0.00    1.00    0.00    0.00    0.00   68.00
14:03:21       3    3.00    0.00    1.00   14.00    0.00    1.00    0.00    0.00    0.00   81.00
14:03:21       4    0.00    0.00    1.01   20.20    0.00    0.00    0.00    0.00    0.00   78.79
14:03:21       5    0.00    0.00    0.99    7.92    0.00    0.99    0.00    0.00    0.00   90.10
14:03:21       6    6.80    0.00    1.94    3.88    0.00    0.00    0.00    0.00    0.00   87.38
14:03:21       7    0.00    0.00    0.00    9.28    0.00    0.00    0.00    0.00    0.00   90.72
14:03:21       8    1.94    0.00    1.94    8.74    0.00    0.00    0.00    0.00    0.00   87.38
14:03:21       9    4.00    0.00    1.00   11.00    0.00    0.00    0.00    0.00    0.00   84.00
14:03:21      10    2.02    0.00    3.03   12.12    0.00    0.00    0.00    0.00    0.00   82.83
14:03:21      11    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
14:03:21      12    5.83    0.00    1.94   11.65    0.00    0.00    0.00    0.00    0.00   80.58
14:03:21      13    2.04    0.00    1.02    7.14    0.00    0.00    0.00    0.00    0.00   89.80
14:03:21      14    0.00    0.00    0.00   12.37    0.00    0.00    0.00    0.00    0.00   87.63
14:03:21      15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

14:03:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:23     all    2.99    0.00    1.62   14.56    0.00    0.31    0.00    0.00    0.00   80.52
14:03:23       0    2.94    0.00    1.96   40.20    0.00    2.94    0.00    0.00    0.00   51.96
14:03:23       1    1.02    0.00    1.02   45.92    0.00    1.02    0.00    0.00    0.00   51.02
14:03:23       2    0.00    0.00    2.08   22.92    0.00    0.00    0.00    0.00    0.00   75.00
14:03:23       3    3.00    0.00    2.00   14.00    0.00    0.00    0.00    0.00    0.00   81.00
14:03:23       4    5.88    0.00    1.96    8.82    0.00    0.98    0.00    0.00    0.00   82.35
14:03:23       5    0.00    0.00    0.00   18.00    0.00    0.00    0.00    0.00    0.00   82.00
14:03:23       6    0.00    0.00    3.03   10.10    0.00    0.00    0.00    0.00    0.00   86.87
14:03:23       7    4.76    0.00    0.95    6.67    0.00    0.00    0.00    0.00    0.00   87.62
14:03:23       8    2.02    0.00    1.01   11.11    0.00    0.00    0.00    0.00    0.00   85.86
14:03:23       9    3.00    0.00    3.00    7.00    0.00    0.00    0.00    0.00    0.00   87.00
14:03:23      10    2.00    0.00    2.00    9.00    0.00    0.00    0.00    0.00    0.00   87.00
14:03:23      11    3.96    0.00    2.97    8.91    0.00    0.00    0.00    0.00    0.00   84.16
14:03:23      12    6.86    0.00    0.00    7.84    0.00    0.00    0.00    0.00    0.00   85.29
14:03:23      13    5.00    0.00    1.00    4.00    0.00    0.00    0.00    0.00    0.00   90.00
14:03:23      14    2.94    0.00    0.98   10.78    0.00    0.00    0.00    0.00    0.00   85.29
14:03:23      15    3.96    0.00    1.98    8.91    0.00    0.00    0.00    0.00    0.00   85.15

14:03:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:24     all    1.53    0.00    1.59   13.18    0.00    0.06    0.00    0.00    0.00   83.63
14:03:24       0    0.00    0.00    3.03   35.35    0.00    1.01    0.00    0.00    0.00   60.61
14:03:24       1    2.06    0.00    1.03   43.30    0.00    0.00    0.00    0.00    0.00   53.61
14:03:24       2    1.03    0.00    2.06   23.71    0.00    0.00    0.00    0.00    0.00   73.20
14:03:24       3    2.06    0.00    1.03   13.40    0.00    0.00    0.00    0.00    0.00   83.51
14:03:24       4    2.04    0.00    1.02   11.22    0.00    0.00    0.00    0.00    0.00   85.71
14:03:24       5    0.00    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00   93.88
14:03:24       6    5.00    0.00    1.00   16.00    0.00    0.00    0.00    0.00    0.00   78.00
14:03:24       7    0.00    0.00    1.01    9.09    0.00    0.00    0.00    0.00    0.00   89.90
14:03:24       8    0.00    0.00    2.08   12.50    0.00    0.00    0.00    0.00    0.00   85.42
14:03:24       9    2.06    0.00    2.06    4.12    0.00    0.00    0.00    0.00    0.00   91.75
14:03:24      10    0.00    0.00    5.05    7.07    0.00    0.00    0.00    0.00    0.00   87.88
14:03:24      11    3.06    0.00    1.02    3.06    0.00    0.00    0.00    0.00    0.00   92.86
14:03:24      12    2.04    0.00    1.02   10.20    0.00    0.00    0.00    0.00    0.00   86.73
14:03:24      13    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
14:03:24      14    1.03    0.00    2.06   13.40    0.00    0.00    0.00    0.00    0.00   83.51
14:03:24      15    3.96    0.00    0.99    2.97    0.00    0.00    0.00    0.00    0.00   92.08

14:03:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:25     all    4.70    0.00    1.38   11.90    0.00    0.31    0.00    0.00    0.00   81.72
14:03:25       0    4.00    0.00    5.00   20.00    0.00    0.00    0.00    0.00    0.00   71.00
14:03:25       1    1.01    0.00    1.01   17.17    0.00    1.01    0.00    0.00    0.00   79.80
14:03:25       2    4.08    0.00    2.04   29.59    0.00    0.00    0.00    0.00    0.00   64.29
14:03:25       3    3.96    0.00    0.99   42.57    0.00    1.98    0.00    0.00    0.00   50.50
14:03:25       4    3.03    0.00    2.02   11.11    0.00    0.00    0.00    0.00    0.00   83.84
14:03:25       5    7.69    0.00    1.92    1.92    0.00    0.96    0.00    0.00    0.00   87.50
14:03:25       6    7.00    0.00    0.00   23.00    0.00    1.00    0.00    0.00    0.00   69.00
14:03:25       7    5.00    0.00    1.00   10.00    0.00    0.00    0.00    0.00    0.00   84.00
14:03:25       8    5.10    0.00    0.00   11.22    0.00    0.00    0.00    0.00    0.00   83.67
14:03:25       9    5.05    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   90.91
14:03:25      10    6.93    0.00    0.99    5.94    0.00    0.00    0.00    0.00    0.00   86.14
14:03:25      11    2.94    0.00    0.98    0.98    0.00    0.00    0.00    0.00    0.00   95.10
14:03:25      12    5.88    0.00    2.94    6.86    0.00    0.00    0.00    0.00    0.00   84.31
14:03:25      13    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
14:03:25      14    4.12    0.00    0.00    3.09    0.00    0.00    0.00    0.00    0.00   92.78
14:03:25      15    4.08    0.00    2.04    3.06    0.00    0.00    0.00    0.00    0.00   90.82

14:03:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:03:26     all    3.61    0.00    1.33   12.10    0.00    0.32    0.00    0.00    0.00   82.65
14:03:26       0    4.95    0.00    2.97   20.79    0.00    0.99    0.00    0.00    0.00   70.30
14:03:26       1    2.97    0.00    1.98   66.34    0.00    0.00    0.00    0.00    0.00   28.71
14:03:26       2    7.84    0.00    0.00    8.82    0.00    0.98    0.00    0.00    0.00   82.35
14:03:26       3    2.00    0.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00   87.00
14:03:26       4    4.95    0.00    1.98   12.87    0.00    0.00    0.00    0.00    0.00   80.20
14:03:26       5    3.00    0.00    1.00    4.00    0.00    2.00    0.00    0.00    0.00   90.00
14:03:26       6    0.00    0.00    1.05   10.53    0.00    0.00    0.00    0.00    0.00   88.42
14:03:26       7    2.06    0.00    1.03    3.09    0.00    0.00    0.00    0.00    0.00   93.81
14:03:26       8    3.12    0.00    0.00   16.67    0.00    0.00    0.00    0.00    0.00   80.21
14:03:26       9    3.16    0.00    0.00    2.11    0.00    0.00    0.00    0.00    0.00   94.74
14:03:26      10    4.04    0.00    3.03    9.09    0.00    1.01    0.00    0.00    0.00   82.83
14:03:26      11    4.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   92.00
14:03:26      12    5.10    0.00    1.02    7.14    0.00    0.00    0.00    0.00    0.00   86.73
14:03:26      13    5.10    0.00    0.00    7.14    0.00    0.00    0.00    0.00    0.00   87.76
