Operation,Source File,elapsed_ms,calls,min_ms,avg_ms,max_ms,total_ms,p99_ms,p95_ms,p50_ms,sd,ratio_pct
NEWORD,times1.json,419405.0,66752,1.155,109.867,1143.091,7333853.384,351.133,248.736,96.101,734439.784,54.645
PAYMENT,times1.json,419405.0,66780,3.015,56.211,990.589,3753766.259,342.118,167.088,36.111,651897.388,27.969
DELIVERY,times1.json,419405.0,6644,8.561,217.231,1670.28,1443284.793,653.165,467.548,191.926,1441856.399,10.754
SLEV,times1.json,419405.0,6658,0.588,70.657,2540.048,470432.651,701.437,243.033,29.151,1588931.213,3.505
OSTAT,times1.json,419405.0,6614,0.585,60.197,1078.198,398143.583,392.757,208.745,33.794,808723.039,2.967
NEWORD,times2.json,418629.5,68568,1.085,107.774,859.187,7389819.084,352.194,248.972,93.633,740016.893,55.164
PAYMENT,times2.json,418629.5,67648,2.764,55.636,1052.397,3763670.411,352.969,166.057,35.989,660766.536,28.095
DELIVERY,times2.json,418629.5,6872,7.124,211.48,1872.999,1453289.281,682.025,452.109,187.975,1471471.585,10.849
SLEV,times2.json,418629.5,6828,0.617,61.874,1828.455,422478.707,684.53,212.276,25.046,1277705.514,3.154
OSTAT,times2.json,418629.5,6676,0.553,58.108,939.727,387929.974,365.824,210.695,32.209,787308.322,2.896
NEWORD,times3.json,419448.5,66482,1.024,110.299,1003.538,7332877.513,354.036,253.001,96.032,752751.123,54.632
PAYMENT,times3.json,419448.5,66568,2.884,56.847,1383.725,3784165.965,349.218,171.01,36.664,668437.846,28.193
DELIVERY,times3.json,419448.5,6752,7.634,213.604,1367.433,1442251.444,734.121,465.74,188.13,1479682.132,10.745
SLEV,times3.json,419448.5,6802,0.598,65.734,2107.006,447122.52,636.091,229.301,26.639,1382591.502,3.331
OSTAT,times3.json,419448.5,6876,0.514,59.103,925.914,406394.417,370.894,207.603,33.175,780561.864,3.028
NEWORD,times4.json,418181.5,66534,1.038,109.898,809.262,7311959.468,352.461,253.804,95.604,741309.191,54.641
PAYMENT,times4.json,418181.5,66360,3.235,56.496,947.812,3749061.874,354.198,167.456,36.13,663541.363,28.016
DELIVERY,times4.json,418181.5,6726,7.276,212.966,1811.325,1432406.56,717.229,467.721,186.629,1511647.204,10.704
SLEV,times4.json,418181.5,6758,0.564,68.678,2102.58,464123.943,885.062,232.008,26.718,1622604.129,3.468
OSTAT,times4.json,418181.5,6854,0.478,60.061,750.595,411657.465,432.966,226.569,32.003,850536.395,3.076
NEWORD,times5.json,419415.0,67468,1.194,109.548,1083.71,7390979.982,361.307,253.427,95.009,764996.973,55.069
PAYMENT,times5.json,419415.0,67256,2.957,56.644,1136.557,3809634.392,346.221,173.45,36.075,669693.745,28.385
DELIVERY,times5.json,419415.0,6660,7.964,203.117,1419.788,1352759.865,607.869,442.022,181.038,1352260.984,10.079
SLEV,times5.json,419415.0,6602,0.573,69.068,2927.535,455988.806,913.657,232.483,25.798,1656582.827,3.398
OSTAT,times5.json,419415.0,6706,0.57,61.206,837.956,410444.321,416.941,221.437,33.243,836601.851,3.058
