Linux 5.15.167.4-microsoft-standard-WSL2 (DESKTOP-5TARP0L) 	06/08/25 	_x86_64_	(16 CPU)

11:42:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:04     all    0.06    0.00    0.44    7.82    0.00    0.13    0.00    0.00    0.00   91.55
11:42:04       0    0.00    0.00    0.00    1.00    0.00    2.00    0.00    0.00    0.00   97.00
11:42:04       1    0.99    0.00    0.00    4.95    0.00    0.00    0.00    0.00    0.00   94.06
11:42:04       2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:04       3    0.00    0.00    2.00   59.00    0.00    0.00    0.00    0.00    0.00   39.00
11:42:04       4    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
11:42:04       5    0.00    0.00    3.96   16.83    0.00    0.00    0.00    0.00    0.00   79.21
11:42:04       6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:04       7    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   95.96
11:42:04       8    0.00    0.00    0.99    6.93    0.00    0.00    0.00    0.00    0.00   92.08
11:42:04       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:04      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:04      11    0.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   96.00
11:42:04      12    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:42:04      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:04      14    0.00    0.00    0.00   23.23    0.00    0.00    0.00    0.00    0.00   76.77
11:42:04      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:42:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:05     all    0.31    0.00    0.75   10.75    0.00    0.12    0.00    0.00    0.00   88.06
11:42:05       0    1.00    0.00    2.00   23.00    0.00    0.00    0.00    0.00    0.00   74.00
11:42:05       1    1.01    0.00    1.01   15.15    0.00    1.01    0.00    0.00    0.00   81.82
11:42:05       2    0.00    0.00    0.99    2.97    0.00    0.99    0.00    0.00    0.00   95.05
11:42:05       3    0.99    0.00    1.98   15.84    0.00    0.00    0.00    0.00    0.00   81.19
11:42:05       4    0.00    0.00    0.00    4.04    0.00    0.00    0.00    0.00    0.00   95.96
11:42:05       5    0.98    0.00    4.90   10.78    0.00    0.00    0.00    0.00    0.00   83.33
11:42:05       6    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
11:42:05       7    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
11:42:05       8    0.00    0.00    1.01   20.20    0.00    0.00    0.00    0.00    0.00   78.79
11:42:05       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:05      10    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
11:42:05      11    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:42:05      12    0.99    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   96.04
11:42:05      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:05      14    0.00    0.00    0.00   71.72    0.00    0.00    0.00    0.00    0.00   28.28
11:42:05      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:42:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:06     all    1.25    0.00    1.00   15.81    0.00    0.19    0.00    0.00    0.00   81.74
11:42:06       0    2.00    0.00    2.00   20.00    0.00    2.00    0.00    0.00    0.00   74.00
11:42:06       1    8.82    0.00    0.98   34.31    0.00    0.00    0.00    0.00    0.00   55.88
11:42:06       2    0.00    0.00    0.00    5.15    0.00    1.03    0.00    0.00    0.00   93.81
11:42:06       3    0.00    0.00    0.00   22.68    0.00    0.00    0.00    0.00    0.00   77.32
11:42:06       4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:06       5    1.00    0.00    1.00   12.00    0.00    0.00    0.00    0.00    0.00   86.00
11:42:06       6    0.00    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00   93.94
11:42:06       7    4.76    0.00    5.71   31.43    0.00    0.00    0.00    0.00    0.00   58.10
11:42:06       8    0.00    0.00    1.01    3.03    0.00    0.00    0.00    0.00    0.00   95.96
11:42:06       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:06      10    2.04    0.00    0.00   10.20    0.00    0.00    0.00    0.00    0.00   87.76
11:42:06      11    0.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   98.00
11:42:06      12    0.00    0.00    1.01    5.05    0.00    0.00    0.00    0.00    0.00   93.94
11:42:06      13    1.00    0.00    1.00   10.00    0.00    0.00    0.00    0.00    0.00   88.00
11:42:06      14    0.00    0.00    2.97   88.12    0.00    0.00    0.00    0.00    0.00    8.91
11:42:06      15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:42:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:07     all    1.57    0.00    2.14   17.86    0.00    0.06    0.00    0.00    0.00   78.36
11:42:07       0    4.95    0.00    2.97   18.81    0.00    0.99    0.00    0.00    0.00   72.28
11:42:07       1    4.00    0.00    3.00   22.00    0.00    0.00    0.00    0.00    0.00   71.00
11:42:07       2    3.00    0.00    2.00   28.00    0.00    0.00    0.00    0.00    0.00   67.00
11:42:07       3    1.03    0.00    2.06   59.79    0.00    0.00    0.00    0.00    0.00   37.11
11:42:07       4    0.99    0.00    1.98   24.75    0.00    0.00    0.00    0.00    0.00   72.28
11:42:07       5    0.00    0.00    4.04    4.04    0.00    0.00    0.00    0.00    0.00   91.92
11:42:07       6    1.00    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   93.00
11:42:07       7    3.09    0.00    2.06   34.02    0.00    0.00    0.00    0.00    0.00   60.82
11:42:07       8    0.00    0.00    0.00    2.06    0.00    0.00    0.00    0.00    0.00   97.94
11:42:07       9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:07      10    0.99    0.00    3.96   12.87    0.00    0.00    0.00    0.00    0.00   82.18
11:42:07      11    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
11:42:07      12    0.00    0.00    6.93    5.94    0.00    0.00    0.00    0.00    0.00   87.13
11:42:07      13    4.95    0.00    3.96   32.67    0.00    0.00    0.00    0.00    0.00   58.42
11:42:07      14    0.00    0.00    0.00   19.39    0.00    0.00    0.00    0.00    0.00   80.61
