log_file,Device,second,r/s,rkB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wkB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dkB/s,drqm/s,%drqm,d_await,dareq-sz,f/s,f_await,aqu-sz,%util
io1.log,sda,0,0.08,4.4,0.01,15.12,0.8,57.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
io1.log,sdb,1,20.83,208.89,31.38,60.11,0.75,10.03,14.15,373.75,79.29,84.85,6.61,26.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,4.72
io1.log,sdc,2,51.51,2184.02,0.73,1.4,0.89,42.4,1225.45,39849.13,681.86,35.75,1.33,32.52,7.19,26313.91,4.55,38.73,0.17,3658.23,519.38,1.93,2.68,72.48
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,2.91,15.53,0.0,0.0,1.67,5.33,308.74,7285.44,56.31,15.43,1.58,23.6,0.0,0.0,0.0,0.0,0.0,0.0,162.14,2.46,0.89,33.98
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
io1.log,sdc,2,113.0,2012.0,0.0,0.0,1.24,17.81,509.0,29992.0,405.0,44.31,1.74,58.92,0.0,0.0,0.0,0.0,0.0,0.0,290.0,2.39,1.72,71.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdb,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
io1.log,sdc,2,33.0,572.0,0.0,0.0,1.76,17.33,850.0,81376.0,715.0,45.69,1.79,95.74,0.0,0.0,0.0,0.0,0.0,0.0,418.0,2.64,2.68,100.0
io1.log,sda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
